weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-ensemble,inc death,1,BE,0.7,0.52,0.56,1,-0.24,9,1,Belgium
10,ILM-EKF,inc death,1,BE,0.77,0.74,0.89,1,-0.07,9,1,Belgium
10,Karlen-pypm,inc death,1,BE,0.76,0.49,0.33,1,-0.23,9,1,Belgium
10,MUNI-ARIMA,inc death,1,BE,1.1,0.74,0.44,1,-0.12,9,1,Belgium
10,SDSC_ISG-TrendModel,inc death,1,BE,1.71,1.71,0.25,0.5,-0.61,8,1,Belgium
10,USC-SIkJalpha,inc death,1,BE,0.82,0.75,0.22,0.44,-0.42,9,1,Belgium
10,AMM-EpiInvert,inc case,4,BG,1.42,1.37,0.38,1,-0.08,8,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,4,BG,1,1,0.6,1,0.27,10,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc case,4,BG,1.12,1.04,0.3,1,0.1,10,1,Bulgaria
10,ILM-EKF,inc case,4,BG,1.84,1.89,0.4,0.9,-0.09,10,1,Bulgaria
10,MUNI-ARIMA,inc case,4,BG,0.82,0.89,0.8,1,0.28,10,1,Bulgaria
10,USC-SIkJalpha,inc case,4,BG,2.16,2.91,0.1,0.1,0.26,10,1,Bulgaria
10,AMM-EpiInvert,inc case,3,BG,0.93,0.89,0.44,1,-0.03,9,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,3,BG,1,1,0.7,1,0.24,10,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc case,3,BG,0.88,0.84,0.4,1,0.11,10,1,Bulgaria
10,ILM-EKF,inc case,3,BG,0.94,0.95,0.5,1,-0.08,10,1,Bulgaria
10,MUNI-ARIMA,inc case,3,BG,0.67,0.78,0.8,1,0.19,10,1,Bulgaria
10,USC-SIkJalpha,inc case,3,BG,1.45,2.06,0,0.1,0.39,10,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,2,BG,1,1,0.7,1,0.21,10,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc case,2,BG,0.79,0.73,0.3,1,0.1,10,1,Bulgaria
10,ILM-EKF,inc case,2,BG,0.92,0.83,0.5,0.9,-0.09,10,1,Bulgaria
10,MUNI-ARIMA,inc case,2,BG,0.72,0.72,0.7,1,0.18,10,1,Bulgaria
10,USC-SIkJalpha,inc case,2,BG,0.98,1.33,0.2,0.2,0.33,10,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,1,BG,1,1,0.56,1,0.12,9,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc case,1,BG,0.8,0.69,0.56,1,0.02,9,1,Bulgaria
10,ILM-EKF,inc case,1,BG,1.06,0.89,0.44,0.89,-0.17,9,1,Bulgaria
10,MUNI-ARIMA,inc case,1,BG,0.92,0.78,0.44,1,0.13,9,1,Bulgaria
10,SDSC_ISG-TrendModel,inc case,1,BG,0.97,0.93,0.62,0.88,-0.14,8,1,Bulgaria
10,USC-SIkJalpha,inc case,1,BG,1.07,1.34,0.33,0.44,0.14,9,1,Bulgaria
10,EuroCOVIDhub-baseline,inc death,4,BG,1,1,1,1,0.06,10,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc death,4,BG,1.97,0.75,0.3,1,-0.02,10,1,Bulgaria
10,ILM-EKF,inc death,4,BG,1.88,0.83,0.4,1,-0.11,10,1,Bulgaria
10,MUNI-ARIMA,inc death,4,BG,2.09,0.98,0.7,1,0.17,10,1,Bulgaria
10,USC-SIkJalpha,inc death,4,BG,2.88,1.71,0.1,0.2,0.04,10,1,Bulgaria
10,EuroCOVIDhub-baseline,inc death,3,BG,1,1,1,1,0.06,10,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc death,3,BG,1.21,0.53,0.7,1,-0.07,10,1,Bulgaria
10,ILM-EKF,inc death,3,BG,1.01,0.48,0.6,1,-0.13,10,1,Bulgaria
10,MUNI-ARIMA,inc death,3,BG,1.57,0.8,0.8,1,0.1,10,1,Bulgaria
10,USC-SIkJalpha,inc death,3,BG,2.05,1.18,0.2,0.3,-0.21,10,1,Bulgaria
10,EuroCOVIDhub-baseline,inc death,2,BG,1,1,1,1,0.04,10,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc death,2,BG,0.8,0.44,0.7,1,-0.06,10,1,Bulgaria
10,ILM-EKF,inc death,2,BG,0.72,0.45,0.8,1,-0.11,10,1,Bulgaria
10,MUNI-ARIMA,inc death,2,BG,1.27,0.61,0.8,1,0.03,10,1,Bulgaria
10,USC-SIkJalpha,inc death,2,BG,1.71,0.85,0.1,0.4,-0.44,10,1,Bulgaria
10,EuroCOVIDhub-baseline,inc death,1,BG,1,1,1,1,0.06,9,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc death,1,BG,0.82,0.51,0.78,1,-0.08,9,1,Bulgaria
10,ILM-EKF,inc death,1,BG,0.87,0.68,1,1,-0.08,9,1,Bulgaria
10,MUNI-ARIMA,inc death,1,BG,0.8,0.57,0.78,1,0.02,9,1,Bulgaria
10,SDSC_ISG-TrendModel,inc death,1,BG,1.41,0.79,0.62,0.88,0.14,8,1,Bulgaria
10,USC-SIkJalpha,inc death,1,BG,1.2,0.68,0.22,0.67,-0.38,9,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,4,CH,1,1,0.6,1,-0.06,10,1,Switzerland
10,EuroCOVIDhub-ensemble,inc case,4,CH,0.78,0.82,0.7,0.9,-0.42,10,1,Switzerland
10,ILM-EKF,inc case,4,CH,0.88,0.84,0.6,1,-0.57,10,1,Switzerland
10,Karlen-pypm,inc case,4,CH,0.95,1.24,0,0,-0.8,10,1,Switzerland
10,MUNI-ARIMA,inc case,4,CH,0.83,0.87,0.7,1,-0.14,10,1,Switzerland
10,USC-SIkJalpha,inc case,4,CH,1.23,1.73,0,0.2,-0.38,10,1,Switzerland
10,EuroCOVIDhub-baseline,inc case,3,CH,1,1,0.7,1,-0.13,10,1,Switzerland
10,EuroCOVIDhub-ensemble,inc case,3,CH,1.05,0.99,0.5,0.9,-0.36,10,1,Switzerland
10,ILM-EKF,inc case,3,CH,1.19,1.05,0.4,0.9,-0.47,10,1,Switzerland
10,Karlen-pypm,inc case,3,CH,1.08,1.25,0,0.3,-0.71,10,1,Switzerland
10,MUNI-ARIMA,inc case,3,CH,0.86,0.89,0.7,1,-0.17,10,1,Switzerland
10,USC-SIkJalpha,inc case,3,CH,1.96,2.6,0,0.4,-0.56,10,1,Switzerland
10,EuroCOVIDhub-baseline,inc case,2,CH,1,1,0.7,1,-0.04,10,1,Switzerland
10,EuroCOVIDhub-ensemble,inc case,2,CH,0.97,0.95,0.6,0.9,-0.21,10,1,Switzerland
10,ILM-EKF,inc case,2,CH,1.28,1.26,0.6,0.9,-0.28,10,1,Switzerland
10,Karlen-pypm,inc case,2,CH,1.15,1.21,0.1,0.4,-0.44,10,1,Switzerland
10,MUNI-ARIMA,inc case,2,CH,0.9,0.87,0.6,1,-0.05,10,1,Switzerland
10,USC-SIkJalpha,inc case,2,CH,1.51,1.94,0,0.5,-0.55,10,1,Switzerland
10,EuroCOVIDhub-baseline,inc case,1,CH,1,1,0.67,1,-0.12,9,1,Switzerland
10,EuroCOVIDhub-ensemble,inc case,1,CH,0.74,0.69,0.56,1,-0.22,9,1,Switzerland
10,ILM-EKF,inc case,1,CH,1.13,0.93,0.56,1,-0.29,9,1,Switzerland
10,Karlen-pypm,inc case,1,CH,1.22,1.12,0.44,0.67,-0.31,9,1,Switzerland
10,MUNI-ARIMA,inc case,1,CH,0.73,0.66,0.56,1,-0.17,9,1,Switzerland
10,SDSC_ISG-TrendModel,inc case,1,CH,6.44,8.23,0,0,-1,8,1,Switzerland
10,USC-SIkJalpha,inc case,1,CH,0.68,0.69,0,0.78,-0.48,9,1,Switzerland
10,EuroCOVIDhub-baseline,inc death,4,CH,1,1,1,1,0.05,10,1,Switzerland
10,EuroCOVIDhub-ensemble,inc death,4,CH,0.7,0.36,0.8,1,-0.15,10,1,Switzerland
10,ILM-EKF,inc death,4,CH,0.58,0.3,0.9,1,-0.2,10,1,Switzerland
10,Karlen-pypm,inc death,4,CH,0.78,0.41,0.2,0.6,-0.56,10,1,Switzerland
10,MUNI-ARIMA,inc death,4,CH,1.14,0.76,0.8,1,0.01,10,1,Switzerland
10,USC-SIkJalpha,inc death,4,CH,1.09,0.67,0.3,0.5,-0.04,10,1,Switzerland
10,EuroCOVIDhub-baseline,inc death,3,CH,1,1,1,1,0.06,10,1,Switzerland
10,EuroCOVIDhub-ensemble,inc death,3,CH,0.78,0.39,0.8,1,-0.06,10,1,Switzerland
10,ILM-EKF,inc death,3,CH,0.48,0.36,1,1,-0.1,10,1,Switzerland
10,Karlen-pypm,inc death,3,CH,0.72,0.36,0.4,0.8,-0.56,10,1,Switzerland
10,MUNI-ARIMA,inc death,3,CH,1.17,0.71,0.9,1,0.02,10,1,Switzerland
10,USC-SIkJalpha,inc death,3,CH,0.89,0.55,0.3,0.4,0.08,10,1,Switzerland
10,EuroCOVIDhub-baseline,inc death,2,CH,1,1,1,1,0,10,1,Switzerland
10,EuroCOVIDhub-ensemble,inc death,2,CH,0.6,0.35,0.8,1,-0.14,10,1,Switzerland
10,ILM-EKF,inc death,2,CH,0.48,0.49,1,1,-0.02,10,1,Switzerland
10,Karlen-pypm,inc death,2,CH,0.54,0.37,0.5,0.9,-0.42,10,1,Switzerland
10,MUNI-ARIMA,inc death,2,CH,1.03,0.71,0.9,1,-0.1,10,1,Switzerland
10,USC-SIkJalpha,inc death,2,CH,0.62,0.46,0.3,0.4,-0.14,10,1,Switzerland
10,EuroCOVIDhub-baseline,inc death,1,CH,1,1,0.89,1,0,9,1,Switzerland
10,EuroCOVIDhub-ensemble,inc death,1,CH,0.68,0.51,0.78,1,-0.12,9,1,Switzerland
10,ILM-EKF,inc death,1,CH,0.71,0.72,1,1,0,9,1,Switzerland
10,Karlen-pypm,inc death,1,CH,0.63,0.45,0.56,1,-0.26,9,1,Switzerland
10,MUNI-ARIMA,inc death,1,CH,1.11,0.82,0.78,1,-0.11,9,1,Switzerland
10,SDSC_ISG-TrendModel,inc death,1,CH,1.25,0.78,0.25,0.88,-0.15,8,1,Switzerland
10,USC-SIkJalpha,inc death,1,CH,0.69,0.59,0.44,0.67,-0.14,9,1,Switzerland
